team,matches,xg_for,xg_against,goals_for,goals_against,npxg_for,npxg_against,xg_difference,ppda,deep_completions
Aston Villa,25,34.79,38.17,36,27,34.79,36.65,-3.38,13.21,201
Everton,26,33.58,40.52,29,30,32.06,38.24,-6.94,14.5,151
Bournemouth,26,45.01,38.01,43,45,41.97,34.97,7.0,11.25,184
Sunderland,25,25.71,38.78,27,29,23.42,37.26,-13.07,14.67,111
Crystal Palace,25,42.17,37.75,26,29,38.37,35.46,4.43,15.7,177
Chelsea,26,54.3,39.06,47,30,48.97,38.3,15.23,9.47,182
West Ham United,26,32.44,50.22,32,49,30.15,45.65,-17.78,15.87,119
Tottenham Hotspur,26,31.58,37.68,36,37,31.58,36.92,-6.1,11.61,158
Arsenal,25,50.49,19.22,49,17,48.21,19.22,31.27,10.36,234
Newcastle United,26,43.81,33.31,37,37,40.01,30.27,10.5,10.77,185
Liverpool,25,44.21,33.43,40,35,42.68,30.39,10.78,10.65,247
Manchester City,25,49.48,30.4,51,24,46.43,28.73,19.07,11.42,246
Manchester United,26,49.8,34.04,47,37,46.76,32.52,15.76,10.7,191
Burnley,25,24.04,54.64,25,49,22.51,50.07,-30.6,13.6,103
Brighton,25,38.13,39.13,34,33,34.33,34.56,-1.0,9.59,154
Fulham,25,30.39,40.13,35,37,28.87,37.84,-9.74,13.9,180
Wolverhampton,25,23.52,41.2,16,48,21.24,38.92,-17.68,14.28,121
Brentford,25,44.68,37.44,39,34,38.59,32.11,7.24,12.13,162
Leeds United,26,40.28,40.2,36,45,36.33,36.39,0.09,13.77,136
Nottingham Forest,25,28.37,43.43,25,38,26.84,39.63,-15.07,14.66,142
